
===== OGF Published Documents =====

OGF documents are developed according to an [[http://redmine.ogf.org/projects/editor/wiki/About_OGF_Documents|open public process as described at this link]].

<sortable>
^ GFD  ^ Type  ^ Area  ^ Group  ^ Publication ^ Title  ^ Authors ^
|<html><div class="hidden">238</div> <a href="http://www.ogf.org/documents/GFD.240.pdf">GFD.240</a></html>|REC|Data|DFDL-WG|2021-02-28|Data Format Description Language (DFDL) v1.0 Specification|M. Beckerle, S. Hanson |
|<html><div class="hidden">238</div> <a href="http://www.ogf.org/documents/GFD.238.pdf">GFD.238</a></html>|INFO|Infrastructure|NSI-WG|2019-12-16|NSI Connection Service v2.0 to v2.1 Delta|G. Roberts |
|<html><div class="hidden">237</div> <a href="http://www.ogf.org/documents/GFD.237.pdf">GFD.237</a></html>|P-REC|Infrastructure|NSI-WG|2019-12-16|NSI Connection Service v2.1|G. Roberts, J. MacAuley, T. Kudoh, C. Guok|
|<html><div class="hidden">236</div> <a href="http://www.ogf.org/documents/GFD.236.pdf">GFD.236</a></html>|P-REC|Infrastructure|NSI-WG|2019-06-01|Network Service Interface Document Distribution Service|J. MacAuley, G. Roberts |
|<html><div class="hidden">235</div> <a href="http://www.ogf.org/documents/GFD.235.pdf">GFD.235</a></html>|P-REC|Infrastructure|NSI-WG|2017-08-18|Error Handling in NSI CS 2.1|J. MacAuley, T. Kudoh, C. Guok |
|<html><div class="hidden">234</div> <a href="http://www.ogf.org/documents/GFD.234.pdf">GFD.234</a></html>|INFO|Infrastructure|NSI-WG|2017-08-18|Network Service Interface Signaling and Path Finding|J. MacAuley, C. Guok, G. Roberts |
|<html><div class="hidden">233</div> <a href="http://www.ogf.org/documents/GFD.233.pdf">GFD.233</a></html>|P-REC|Infrastructure|NSI-WG|2017-08-18|Applying Policy in the NSI Environment|J. MacAuley, T. Kudoh, C. Guok, G. Roberts |
|<html><div class="hidden">232</div> <a href="http://www.ogf.org/documents/GFD.232.pdf">GFD.232</a></html>|P-REC|Infrastructure|NSI-WG|2017-08-18|NSI Authentication and Authorization|H. Trompert, J. MacAuley |
|<html><div class="hidden">231</div> <a href="http://www.ogf.org/documents/GFD.231.pdf">GFD.231</a></html>  |P-REC  |Applications  |DRMAA-WG  |2016-11-21  |Distributed Resource Management Application API Version 2.2 (DRMAA)  |P. Tröger, R. Brobst, D. Gruber, D. Templeton |
|<html><div class="hidden">230</div> <a href="http://www.ogf.org/documents/GFD.230.pdf">GFD.230</a></html>  |P-REC  |Applications  |DRMAA-WG  |2016-11-21  |Distributed Resource Management Application API Version 2.2 (DRMAA) C Language Binding.  |D. Gruber, P. Tröger, R. Brobst, M. Mamoński, A. Merzky |
|<html><div class="hidden">229</div> <a href="http://www.ogf.org/documents/GFD.229.pdf">GFD.229</a></html>  |P-REC  |Infrastructure  |OCCI-WG  |2016-10-21  |Open Cloud Computing Interface – Text Rendering  |A. Edmonds, T. Metsch |
|<html><div class="hidden">228</div> <a href="http://www.ogf.org/documents/GFD.228.pdf">GFD.228</a></html>  |P-REC  |Infrastructure  |OCCI-WG  |2016-10-21  |Open Cloud Computing Interface – Service Level Agreements  |G. Katsaros |
|<html><div class="hidden">227</div> <a href="http://www.ogf.org/documents/GFD.227.pdf">GFD.227</a></html> |P-REC |Infrastructure |OCCI-WG |2016-10-21 |Open Cloud Computing Interface – Platform |T. Metsch, M. Mohamed|
|<html><div class="hidden">226</div> <a href="http://www.ogf.org/documents/GFD.226.pdf">GFD.226</a></html> |P-REC |Infrastructure |OCCI-WG |2016-10-21 |Open Cloud Computing Interface – JSON Rendering |R. Nyrén, F. Feldhaus, B. Parák, Z. Šustr |
|<html><div class="hidden">225</div> <a href="http://www.ogf.org/documents/GFD.225.pdf">GFD.225</a></html> |P-REC |Security |CAOPS-WG |2016-10-31 |Interoperable Certificate Profile |D.L. Groep, M. Jones, J. Jensen, M. Helm, M. Sova, S. Rea, R. Karlsen-Masur, U. Epting |
|<html><div class="hidden">224</div> <a href="http://www.ogf.org/documents/GFD.224.pdf">GFD.224</a></html> |P-REC |Infrastructure |OCCI-WG |2016-10-21 |Open Cloud Computing Interface – Infrastructure |T. Metsch, A. Edmonds, B. Parák|
|<html><div class="hidden">223</div> <a href="http://www.ogf.org/documents/GFD.223.pdf">GFD.223</a></html> |P-REC  |Infrastructure |OCCI-WG |2016-10-21 |Open Cloud Computing Interface - HTTP Protocol |R. Nyrén, A. Edmonds, T. Metsch, B. Parák|
|<html><div class="hidden">222</div> <a href="http://www.ogf.org/documents/GFD.222.pdf">GFD.222</a></html> |P-REC |Infrastructure |OCCI-WG |2016-10-21 |OCCI Compute Resource Templates Profile |M. Drescher, B. Parák, D. Wallom|
|<html><div class="hidden">221</div> <a href="http://www.ogf.org/documents/GFD.221.pdf">GFD.221</a></html> |P-REC  |Infrastructure |OCCI-WG |2016-10-21 |Open Cloud Computing Interface – Core |R. Nyrén, A. Edmonds, A.P. Adesso, T. Metsch, B. Parák|
|<html><div class="hidden">220</div> <a href="http://www.ogf.org/documents/GFD.220.pdf">GFD.220</a></html> |P-REC |Infrastructure |NSI-WG |2016-10-31 |Network Service Agent Description |J. MacAuley | 
|<html><div class="hidden">219</div> <a href="http://www.ogf.org/documents/GFD.219.pdf">GFD.219</a></html>   |P-REC            |Management          |GLUE-WG               |2016-05-31   |GLUE v. 2.0 – Reference Realization to JSON Schema       |W. Smith, D. Meredith, S. Memon, JP. Navarro |
